Армения,am
Австрия,at
Азербайджан,az
Бельгия,be
Болгария,bg
Беларусь,by
Швейцария,ch
Китай,cn
Колумбия,co
Германия,de
Дания,dk
Эстония,ee
Египет,eg
Испания,es
Европа,eu
Финляндия,fi
Франция,fr
Великобритания,gb
Грузия,ge
Греция,gr
Хорватия,hr
Венгрия,hu
Ирландия,ie
Израиль,il
Индия,in
Исландия,is
Италия,it
Япония,jp
Кыргызстан,kg
Казахстан,kz
Лихтенштейн,li
Литва,lt
Люксембург,lu
Латвия,lv
Ливия,ly
Молдова,md
Монголия,mn
Нидерланды,nl
Норвегия,no
Нейтральная Зона,nt
Польша,pl
Португалия,pt
Румыния,ro
Россия,ru
Швеция,se
Словения,si
Словакия,sk
Бывший СССР,su
Таджикистан,tj
Туркменистан,tm
Турция,tr
Украина,ua
Объединенное Королевство,uk
США,us
Узбекистан,uz
Ватикан,va
Югославия,yu
commercial,com
organizations,org
network,net
business,biz
mobile,mobi
professional,pro
imformation,info